,0
52,"Автор жалуется на отсутствие клиентоориентированности в данном заведении, а именно на то, что ему не разрешили разрезать бенто-тортик и съесть его в качестве сюрприза на день рождения мужа."
53,"Автор жалуется на то, что не получил свой кофе с пирожными в кафе."
54,"Автор жалуется на несвежие сладости в кафе, которое находится в ТЦ Мега-Химки."
55,"Автор жалуется на то, что купил творожное печенье, которое оказалось очень твердым и невкусным."
56,"Автор жалуется на то, что бариста Дарья не умеет общаться с людьми и грубо отказала ему в помощи с выбором напитка. Она также проигнорировала его просьбу выбрать напиток на свой вкус и щелкнула кнопкой перед варкой эспрессо, из-за чего ощущается горечь. Кроме того, она не попрощалась с ним в ответ."
57,"Автор жалуется на то, что до обеда лучше не ходить, так как стабильно 2 раза время ожидания заказа составляло более 40 минут. В первом случае был заказ на один завертон и кофе, а во втором - на кофе и вафлю и десерт."
58,Автор жалуется на хамство персонала в столовой.
59,"Отвратительная пицца. Начинки толком нет, в некоторых пиццах до бортика 1.5 см вообще пусто, кушай пустое тесто называется. Больше не закажу, даже если сменится руководство и начнут делать, как раньше."
60,"Автор жалуется на качество пиццы. Он считает, что сыр в этой пицце является суррогатом или ""сырным продуктом"". После того, как автор поел эту пиццу, его начало мутить, и он был вынужден выбросить в мусор больше двух пицц."
61,"Автор жалуется на то, что заказанные им кондитерские изделия имеют сомнительный вкус и не соответствуют заявленной цене. Он также указывает на пререкания с клиентами в комментариях и попытки выставить его неадекватным."
62,"Автор жалуется на то, что в музее чая и пряников в Переславле-Залесском его обманули и не предоставили ему полную информацию о музее, традициях и чаепитии. Вместо этого ему принесли чай Ахмад в зелёной чашке от Ахмада и за 15 минут девушка в джинсах рассказала ему факты об этом. Автор не получил никакой дегустации или красивой подачи истории, а также разочаровался в самом музее."
63,"Автор жалуется на то, что еда в ресторане невкусная, обслуживание плохое, а сам ресторан имеет только название ресторана. Он ставит 2 звезды только за антураж."
64,"Автор жалуется на то, что еда в ресторане вкусная, но время ожидания блюд увеличено."
65,"Автор жалуется на качество чая и выпечки в пекарне, а также на то, что там летают мухи и шатаются столики."
66,"Автор жалуется на то, что его кишлорен с рыбой был холодным, а кофе - чуть теплым. Он также недоволен системой с кодом в туалет, который нужно спрашивать на кассе."
67,"Автор жалуется на то, что в кофейне BD Coffee он попробовал вкусный кофе, но не получил необходимой информации от бариста."
68,"Автор жалуется на то, что в Цехе все время забывают отдавать сухарики с цезарю."
69,"Автор жалуется на то, что качество еды в кафе снизилось до уровня столовой. Салаты невозможно есть из-за большого количества майонеза. Большинство блюд из одних и тех же ингредиентов в разной интерпретации уже надоели и приелись. Рецептура некоторых блюд удивляет, но не сказать,что приятно. Работа управляющего персонала видна только с худшей стороны, не на благо посетителей. А обслуживающий персонал очень хороший, приветливый, доброжелательный и внимательный."
70,"Автор жалуется на то, что в кофейне бывают дни, когда не оплачен интернет и приложение не работает."
71,"Автор жалуется на плохое обслуживание и качество еды. Он отмечает, что время ожидания двух кофе и двух отвратительных, холодных роллов составляет почти 30 минут, официанты ходят с плохо собранными волосами на кухню, а на баре нужно выпрашивать ответы на свои вопросы. Автор ставит +1 звезду за дизайн, но не удовлетворен обслуживанием и качеством еды в этом ресторане."
72,"Автор жалуется на качество выпечки и чая. Он считает, что это место не подходит для формирования органолептики."
73,"Автор жалуется на то, что девушка бариста в кофейне курит электронную сигарету и обслуживает с отвратительным настроением."
74,"Автор жалуется на то, что его фраппе был слишком соленым."
75,"Автор жалуется на цену, качество кофе, интерьер, персонал и ожидание заказа."
76,"Автор жалуется на то, что в баре плохо работают баристы, лимонады кажутся минеральными, а в айслатте не добавили карамель и цена завышена."
77,"Автор жалуется на несъедобный рамен, который был заказан его дочерью."
78,Раньше было лучше. Стало меньше атрибутики. Но ситуацию спасает официант - вылитый Гарри Поттер.
79,"Автор жалуется на то, что десерт моти и второе пирожное были не свежими, а официант забыла принести весь заказ и спокойно пила кофе. Кроме того, она начала огрызаться на замечания о работе персонала. Автор рекомендует администрации кафе обратить внимание на работающий персонал и не сидеть нога на ногу во время отсутствия посетителей."
80,"Автор жалуется на то, что ему и его молодому человеку не понравился заказанный том ям. Он был очень острый, кальмары огромные, а суп еле тёплый. Кроме того, официант не смог дозаказать напитки, так как кухня была закрыта."
81,"Автор жалуется на то, что его заказ с самовывозом был готов через 10 минут после оплаты, но ему выдали его не на посуле, а в картонных коробках для доставки."
82,"Автор жалуется на обслуживание и качество десертов в кафе. Он упоминает, что купил банановый кекс с семечками и яичной скорлупой, которые хрустели и скрипели на зубах у всех, пока он не начал давиться Лёва и ему не пришлось доставать куски изо рта."
83,"Автор жалуется на то, что в кафе нет админа или старшего официанта, а также на отсутствие соответствующей дагестанской музыки и все виды хинкала, кроме лезгинского. Он просит хозяина кафе обратить на это внимание."
84,"Автор жалуется на высокие цены в кафе, отсутствие сервиса и некачественные пельмени."
85,"Автор жалуется на то, что персонал в кофейне в Гранд Каньоне не проявляет никакой реакции на гостей и не знает, как правильно общаться с ними. Он также выражает свое недоумение по поводу того, почему для таких сотрудников не проводят обучение и тренинги по продажам и сервису."
86,"Автор жалуется на не приветливых бариста, отсутствие меню и пункта с альтернативным молоком."
87,"Автор жалуется на то, что ему не удалось найти кофейню через инстаграм и порекомендовать ее своей подруге. Он также выражает свое мнение о качестве кофе и портрете на стаканчике."
88,Автор жалуется на грубость и равнодушие девушки в кофейне.
89,"Автор жалуется на то, что ларьки с тротуара убрали, мусор размножают, водители машинами загораживают остановку автобусам, всем неудобно."
90,"Автор жалуется на ленивое неприветливое обслуживание, на ""отвали"". Он отмечает, что нужно постоянно все повторять и не обращать внимания на недовольные лица сотрудников, порой подождать пока они залипают в телефонах. Автор также указывает на грязный и заброшенный туалет, а также на несоответствие цен заведению."
91,"Автор жалуется на грязный туалет, протекающий чайник с чаем, отсутствие выбора десертов и еды, а также отсутствие атмосферы в кофейне."
92,"Автор жалуется на качество еды и обслуживания в ресторане ""гостинный двор"" в Суздале. Он считает, что цены на еду и напитки завышены, а качество блюд неудовлетворительное."
93,"Автор жалуется на то, что ресторан около музея деревянного зодчества в Суздале не доставил ему никакого удовольствия. Он считает медовуху мерзкой, а рыбу сом не дожаренной и не обладающей никаким вкусом. Кроме того, автор отмечает высокие цены на еду."
94,"Официанты обманывают: включили в счёт лишнее блюдо, счёт не принесли, при оплате что-то быстро прощелкали на планшете, что я даже не увидела сумму оплаты. Только дома обнаружила обман, посмотрев смс из банка."
95,Автор жалуется на дорогой магазин и жадную шаурму.
96,"Кофе и напитки хорошие, но бывают забывают выдать полностью заказ. Пару раз такое было. Пришлось просить чтоб принесли. Один раз делал просто возврат средств."
97,"Автор жалуется на то, что ему пришлось ждать свой заказ 40 минут, при этом он был один в кафе. Кроме того, он узнал о своей ошибке при расчете, когда ему принесли две порции люля-кебаба, а не одну, как было указано на вывеске. В целом, автор считает это заведение непрофессиональным и разводом на деньги."
98,"Автор жалуется на неадекватно высокие цены на хлеб и невкусный хлеб, а также на то, что они не соблюдают соотношение цена/качество. Кроме того, автор не согласен с названием блюда ""штрудель""."
99,"Автор жалуется на то, что его разочаровало обслуживание в данном заведении, а именно на долгое ожидание кофе и вафель, равнодушный и непрофессиональный персонал, отсутствие комплиментов от заведения и быстрый счет. Однако автор также отмечает вкусную еду и хорошие вафли."
100,"Автор жалуется на то, что официант отказывается приносить воду с кофе."
101,"Автор жалуется на качество кофе и десертов, а также на медленное обслуживание."
102,Автор жалуется на отсутствие зожных десертов в кофейне.
103,"Автор жалуется на то, что продавец в магазине крайне недоброжелательно относится к покупателям. Она была недовольна, даже когда в очереди было всего три человека. Настроение автора было испорчено на целый день, а круассаны, которые она купила, оказались не очень вкусными."
104,"Автор жалуется на то, что не может попасть в кафе ""Прекрасная зеленая 2"" на бизнес-ланч, так как оно всегда занято. Он предлагает другим людям открыть такое же кафе, чтобы поток людей на улице был налажен."
105,"Автор жалуется на то, что кафе не работает по утрам."
106,"Автор жалуется на официантов, которые всегда с недовольными лицами и говорят с таким тоном, будто кто-то им должен. Он просит уволить этих вечно недовольных детей и нанять нормальных работников."
107,"Автор жалуется на то, что его заказ ждали 25 минут, принесли холодный сендвич, затем разогрели до кипятка, а через пять минут принесли сырники, которые все это время «готовились», и принесли их конечно же холодные. Также автор отмечает неудовлетворительное состояние туалета."
108,"Автор жалуется на качество шаурмы в данном заведении. Он считает, что работник не помыл руки перед приготовлением, а также что соус не соответствует заявленному качеству. В целом, автор не рекомендует данное заведение."
109,"Автор жалуется на то, что ему принесли вареники с картошкой и грибами, а не с картофелем и луком фри, как было написано в меню. Официант заявил, чтобы автор не обращалась к сети, так как это был такой рецепт. Автор не хочет больше посещать данное заведение."
110,"Автор жалуется на незаконную торговую точку, установленную рядом с МФЦ."
111,"Автор жалуется на то, что ему не понравилось обслуживание и качество напитков в ресторане."
112,"Автор жалуется на то, что его не уведомили о запрете курения в зале, где он забронировал столик, и что ему не предоставили пасту с лососем, которую он заказывал."
113,Автор жалуется на плохое обслуживание в ресторане города Когалым.
114,Автор жалуется на отсутствие фоновой музыки в кофейне.
115,"Автор жалуется на то, что персонал не был клиентоориентирован и не предложил помощь в выборе продукции."
116,"Автор жалуется на то, что обслуживание оставляет желать лучшего. Официанты долго не убирают столики за другими клиентами, приходится самой искать сотрудника и просить освободить стол. Затем ну очень долго пришлось ждать, пока подойдёт официант и принесёт меню."
117,"Автор жалуется на то, что в кафе не было никого, кроме бариста, который отказался добавлять карамель и корицу в кофе, а также взял деньги за заказ."
118,"Автор жалуется на то, что его машина не была обезжирена должным образом после мойки в этой мойке. Он также выражает свое недовольство тем, как мойщики подогнали его машину вплотную к другим автомобилям, из-за чего валики не прошли по капоту и лобовому стеклу."
119,"Автор жалуется на то, что из 5 блюд, заказанных в трактире, ему понравилось только одно - блинный пирог. Он был сочным, было понятно как его есть, вкусный, а соус насыщенный. Салат с копчёной грудинкой разочаровал, так как по факту это что-то на подобии винегрета с мясом, к чему там кольцо из слоёного теста, как это есть? Непонятно. Подголики на любителя из-"
120,"Автор жалуется на то, что еда в ресторане ""Бора-бора"" не соответствует уровню университетской столовой, а роллы и супы несъедобны. Он также указывает на плохое состояние детского уголка и отсутствие там игрушек и мелков для доски."
121,"Автор жалуется на то, что в ресторане ""Суздаль"" подают не очень вкусные блюда, а именно: салат со свеклой с вялеными томатами и сельдь под шубой. Блюда красивые, но вкус перебит майонезом и ягодами. Кроме того, зал забит и постоянная очередь в туалет."
122,"Автор жалуется на то, что он отравился после того, как съел булочку с баклажаном и кофе Латте в данном кафе. Он также выражает свое недовольство новым персоналом, который не положил сахар в кофе и принес пирожок в пакете. Автор также указывает на отсутствие мусорки после себя."
123,"Автор жалуется на то, что ему не принесли нормальный латте без добавок. По итогу кофе практически не было, от него остался неприятный горький жжёный привкус. Даже молоко было сладким, будто добавили сиропы. Бариста никак не отреагировал на замечания, в его понимании все было в порядке. Пришлось выкинуть,от такого нечто однозначно стало бы плохо."
124,"Автор жалуется на то, что заказ был принят быстро, но ожидание составило 45 минут. Чай и суп принесли холодные, а мята в чае была не свежей. Вафли ребенку понравились, однако когда попросили дополнительную тарелку, ее так и не принесли. Автор не рекомендует это кафе для посещения."
125,"Автор жалуется на то, что меню на телевизорах неудобно просматривать в солнечную погоду, а также на отсутствие популярных позиций для жаркой погоды, таких как бамбл-кофе или эспрессо-тоник. Автор также отмечает, некоторые сочетания сиропов являются «гремучей смесью» и не соответствуют стандартам приготовления напитков."
126,"Автор жалуется на качество кофе, которое оставляет желать лучшего. Он считает, что за 165 рублей можно купить стаканчик молока, а не кофе. Кроме того, автор не понимает, зачем нужно сливать половину кофе в отстойник."
127,"Автор жалуется на то, что ему не предложили стульчик для кормления детей на летней площадке, а также на отсутствие помощи со стороны администратора при протирании грязного стульчика."
128,"Автор жалуется на грязь, обслуживание, коричневатую воду для кофе, старые десерты и тирамису, которые вечно нет и его порция становится значительно меньше."
129,"Автор жалуется на то, что качество обслуживания в ресторане ухудшается с каждым годом, а кассиры хамят и не разбираются в блюдах. Блюда приходится ждать долго, грязь вокруг и обманывают во всей сети и здесь."
130,"Автор жалуется на тесноту, неприветливость официанток, ужасный салат с баклажанами, невкусные десерты и грязь в ресторане."
131,"Автор жалуется на качество круассанов с форелью, которые он заказывает в данном кафе. Он отмечает, что они не всегда качественные и не соответствуют заявленному качеству. Автор также предлагает заменить майонез на сливочный сыр, чтобы блюдо было более вкусным."
132,"После 15 минут ожидания никто даже не удосужился подойти и принести меню, с таким наплевательским отношением к клиентам ходить сюда желание пропало"
133,"Автор жалуется на качество кофе и пирожков, которые он заказал в данном заведении. Он утверждает, что кофе был ужасен, а пирожки невкусные и не имели начинки. После их употребления у всех началось вздутие и боли в животе. Автор не видит плюсов в этом заведении и рекомендует его не посещать."
134,"Автор жалуется на отвратительный кофе, вкус которого как будто сигаретами пахло, заказали на кокосовом молоке, но вкус молока абсолютно отсутствовал."
135,"Автор жалуется на то, что все места в кафе были заняты, а сотрудники не реагировали на поведение подростков, которые играли в телефонах у стены за стойкой."
136,"Автор жалуется на то, что заказанный кофе и брускетты были доставлены с опозданием, а также на отвратительный сервис со стороны официанта."
