,Отзыв
22,"Зашла сегодня утром выпить кофе, гуляя с собакой. Выбор выпечки минимальный, цены не маленькие. Само заведение очень приятное, есть летняя веранда. Заявленное пирожное Наполеон, оказалось не Наполеоном, а бисквитом с большой жирной шапкой крема: бариста не знает что продает?!Оплатила картой, чек не дали, вернувшись домой обнаружила, что денег списали гораздо больше, чем стоимость чашки кофе и пирожное, заявленное в прейскуранте. Неприятно очень. Больше не пойду, очень жалко, такое милое кафе и такое отношение к посетителям"
23,"Уважаемое руководство! Ваши сотрудники сегодня 26 марта сообщили, что кусочек лайма в моем стакане весит 30 гр! См. Фото! При среднем весе лайма в 70гр в моем стакане с б/а мохито должно лежать чуть меньше половины лайма. Как минимум это неуважительно к клиенту, который несет деньги в ваше заведение, который может заказать помимо напитка и основного блюда десерт, кофе, чай. Оставить в конце концов чаевые, которые я не оставила, за ужасное обслуживание и отношение к напиткам бармена. По мимо этого официанты ходили мимо, не предложили меню - я не гордая - вязала сама со стойки. Пока официанту не позвали, она и не смотрела в нашу сторону. В кафе было занято от силы 8-9 столиков из всех свободных. Для двух официантов такое количество занятых столов - на изи отработать смену. Буду ли советовать Шоколадницу на Автозаводской кому-то? - конечно, нет, и буду показывать отношение персонала к нам фотографиями элементарного б/а коктейля."
24,"Безлактозного молока нет, все напитки слишком сладкие, тапиока без вкуса. Короче говоря данные напитки бабл ти не назовешь, это коровье молоко с огромным количеством сиропа и желе"
25,"Ужасно медленное обслуживание. Ожидание озвучили 5 минут, в итоге заказ ждали более 20 минут. Повара ходят как сонные мухи, кассир теряется в заказах. В итоге опоздали везде где только можно. Спасибо за прекрасный день!"
26,"Честное слово , они делают лучший кофе ! Если я перед работой не выпью их капучино на банановом - мой день пройдёт зря …"
27,"Я очень люблю сеть кофеен Cofix. У них, на мой взгляд, действительно вкусный кофе. Однако, качество обслуживания по данному адресу очень омрачает. По пути на работу часто забегаю в данную кофейню за утренней порцией латте с банановым сиропом. По моим наблюдениям, за последние 2 недели мне дважды добавили не тот сироп и дважды вообще его не добавили, хоть в заказе и пробивали (проверяла в приложении наличие сиропа в заказе, так как в кофейне этого не делала). Подобное было и ранее, и не один раз. Также периодически кто-то из барист готовит ужаснейший кофе. К сожалению, не придавала ранее значения тому, кто именно готовит. Впредь буду наблюдательнее. Сегодня снова случилось подобное - кофе оказался противным на вкус, к тому же в него не добавили сироп. Я не стала возвращаться и выяснять отношения с сотрудниками, о чем пожалела, а просто выкинула кофе в урну и пошла на работу с испорченным настроением. С каждым разом всё больше и больше накатывают сомнения ""А стоит ли зайти за кофе?"", ""Сделают ли мне то, что я хочу?"", и я уже периодически стала просто проходить мимо."
28,"Вторые блюда вкусные ,но во десерты ,3 раза перевыбирали десерт ,девушка отвечала что нету в наличии что мы хотели ,плохо что она не знала что есть у них по наличию ,когда мы уходили ,десерты них близко с выходом ,были все десерты что мы хотели,очень обидно ((("
29,"После долгого перерыва заглянула в некогда любимую кофейню. Что случилось? Выбор десерта очень скуден и на вид всё не первой свежести (на вкус оказалось тоже) и это в выходной день. В помещение был занят один стол, очереди перед кассой не было, стол за который мы сели оказался грязным, мы пересели за соседний, но он тоже был в грязных пятнах. Позвали сотрудника, что бы помыли стол, сказали, что соседний стол тоже грязный, но протерли только наш стол (и на том спасибо). Т.е. при отсутствии большого количества посетителей не могут держать столы в чистоте, что же там творится когда наплыв людей (а есть ли этот наплыв?). Кофе вкусный, к нему претензий нет. Думаю теперь нескоро вернусь сюда."
30,"Ужасное обслуживание, старый хлеб. Старые ворчливые тетки-продавщицы а-ля рынок 90х. Делают одолжение, отвечая на вопросы. Просто фу. Никогда больше не пойду туда."
31,"Плохая кондитерская, широкий ассортимент, но считаю цены завышены, качество товара и сроки хранения вызывают опасения периодически. Дважды за три дня один и тот же торт( нарезка) брали с клубникой, которая была покрыта плесенью ...те,после первого замечания и возврата, пришли купить через день, этот же торт, и он до сих пор был на витрине и уже имел устойчивый запах плесени крем ...был скандал и возврат....Те,товар реализовываться, даже,если подлежит списанию по органолептическим показателям!!!! Внимание, возможность отравления! Сегодня через длительный период разочарований в кондитерской,дочь снова зашла детям купить сладости. Купила два рожка наполнитель белковый, типа зефир и сверху глазурь. Конечно,сразу же дали кушать маленьким детям 4 и 2 года. Дети ели, оценивая сладость продукта,но когда взрослые взяли данные рожки, оказались они старые, засахаренный белок со старым вкусом....испугавшись,возможного отравления белковым кремом, выбросили и стали писать отзыв, дабы другие родители насторожено относились к выбору ассортимента. Год живём на районе, и кондитерская за год просто стала ужасной, основная причина, некачественный старый товар, а если учесть ,что он скоропортящийся, то думаю стоит Роспотребнадзора чаще наведываться с проверкой товара в данной кондитерской ! Во избежание отравления, будем детям давать абсорбент, ждать на авось не приходится!!! Позор, из шикарной кондитерской, сделали посредственную кондитерскую с залежалым товаром!!!! Очередное разочарование, и что самое главное, продавцы, менеджеры постоянные ю, а значит именно на них лежит ответственность за сроки и условия хранения товара!!! Будьте осторожны,выбирая товар в данной кондитерской!!!!"
32,"При заказе на доставку несколько раз спросили про ролы с огурцом, имея ввиду отсутствие рыбы, т.к. у ребенка аллергия. В итоге привезли роллы с рыбой. Совет, когда принимаете заказ на мясо, предлагайте соусы и хлебные изделия потомучто люди забывают их заказать."
33,"В этом заведении хорошего было всего 2 вещи: 1) кокосовый чизкейк 2) смузи переходим к минусам: 1) при минимальной загруженности заказ мы ждали в районе 20-и минут . Первым подали чизкейк , т.е. не соблюдение курсов отдачи. сначала десерт , потом горячее ? 2) в горячих блюдах половина ингредиентов были холодным (креветки и мясо) 3) грейпфрутовый фреш был слишком водянистым 4) сидели за грязным столом 9 минут , работники, проходя мимо , просто игнорировали это 5) по приезду домой ожидал неприятный сюрприз, т.е отравление 6) реклама заведения в соц сетях не соответствует ожиданиям P.S. Единственный сотрудник , который хоть как-то был заинтересован в гостях и работе, молодой человек в очках дата посещения: 03.07.23 , г. Ессентуки"
34,"Сначала очень обрадовалась что открылась хорошая пекарня рядом с домом. Когда зашла - разочаровалась. Выпечка была вся сгоревшая до черноты. Вообще не понятно как можно было так ставить на прилавок. Понравился трюфельный кекс, но внутри нашли кусок бумаги. Я такого вообще давно уже не встречала в кондитерских. Брала ещё кусочек торта - был не свежий и не вкусный. Жаль, больше сюда не приду."
35,"Такое ощущение, что в заведение не завезли соли. Вообще. Суп вообще без соли, картошка с грибами - тоже вообще не соленые. Есть не возможно. Продавец хамит! Стали брать на поднос пирожки- разобралась, что нельзя брать - потом не сосчитаешь сколько взяли, а сколько украли. Очень странное поведение: пирожки стоят на прилавке, бери, клади на поднос - иди к кассе. Или она целенаправленно обвиняла нас в воровстве? Расплатится картой у вас не получится, равно как и получить чек - все исключительно за нал и переводы. То есть, налогов ни кто платить и не думает. Отдельная беда - нет не только туалета, но и возможности вымыть руки с улицы. Интересно, что думает об этом СЭС?"
36,"Иногда покупаю тут донаты сыну, когда проходим мимо. Сегодня шли специально в это место компанией взять кофе, тортики, посидеть, пообщаттся. Продавца не было минут 30. Неприятно. Больше мы такой ошибки не совершим."
37,"Сегодня 01.06.2023г. в 11:15 зашла в это заведение. Гостей не было вообще. Я попросила сотрудницу пропустить меня в уборную, и заплатить ей. Она отказала, я ее умоляла, так как нахожусь на 8 месяце беременности, и авария была на подходе, предлагала 200, 300 и 500 рублей. Но девушка ехидно улыбалась и отказывала. Почему нельзя было войти в положение и пустить в уборную, хотя бы за 500 рублей?"
38,"Вообще к Шоколаднице хорошо отношусь, но конкретно эта просто ужаснейшая, чудовищная. Не понимаю почему. Ведь место такое, что с хорошим персоналом, они могли бы просто в масле кататься. Итак: 1. со столика долго не убирали мусор от предыдущих посетителей. И вообще всё очень было грязно. В рабочих зонах всё завалено, не прибрано, как в комнате у подростка. 2. К нам никто не подходил. Я обратилась к девушке, она мне отказала. Затем я остановила парня и спросила, может ли он принять наш заказ. Его ответ попал мне в самое сердечко. Он сказал: ""Э-э-э, ну ладно"". 3. Салат Цезарь был просто мерзкий, с вялыми листьями салата, некоторые из которых уже подгнивали. 4. Но дальше — больше. Мне принесли бокал вина... *барабанная дробь* ... в грязном бокале!! Бокал был весь в отпечатках пальцев и со следами губ! Я была просто в шоке. P.S. другой сотрудник спас ситуацию, стал мило общаться, извинялся вежливо и подарил пирожное. Но грязный бокал — это слишком, всё равно. Не могу забыть до сих пор."
39,"Шоколадка,ты меня растроила. Скорее всего- повар. Утро, 9часов,завтрак. Заказываю свое любимое- вафлю из шпината с авокадо. Очень много раз я ее заказываю в этом месте,знаю это блюдо. Но не в этот раз. Принесли нечТО. Там было 2-3 икринки и половинка вяленного помидора просто размазали. Сухая вафля . Салат сухой,просто зеленушка. Я очень хорошо знаю,как должно выглядеть это блюдо. Так вот это было эконом вариант . Такое чувство ,что в понедельник ,утром холодильник в кафе был пустой и готовили ,вымазывали,собирали с того что осталось. Муж заказал рисовую кашу,но увы ее не получилось приготовить. Как обьяснили,что стали готовить и поняли,что заготовка прокисла,поэтому геркулес вам в помощь.Да официанка попыталась извиниться,принесла конфетку. Но настроение ,голодный желудок ,хотелось просто плакать. И могли бы сделать нормально,переделать,добавить. Но не смогли,думаю по причине пустого холодильника.Поэтому не рекомендую ходить на завтраки,печалька на весь день. Жалко,что не сфоткала этот""шедевр"",так растроилась ,что совсем забыла ((((((("
40,Стоит посетить это заведение ! Вкусно и свежее ! Особенно картошечка с беконом на сковородке 👍👍👍
41,"Полностью вернули блюдо со стейком тунца, но его включили в счет, мы заплатили за то, что даже не ели. Официантка сказала, что они не обязаны делать так, как показано в меню. Хотя в другой шоколаднице сделали блюдо с правильной прожаркой и не пропавшими продуктами. В бургере котлета сухая :("
42,Кофе и сладости вкусные но охранник ужас. Он превышает полномочия! Подходит к людям которые пришли 5 мин назад и тыкает их в плечи и выгоняет к кассам. Я понимаю если просто дать предупреждение но рукоприкладство просто переходит все границы! У одного парня телефон из рук вырывал потому что он ему не отвечал. Это вы считаете нормальное поведение ЧОП Патриот ?Но персоналу с касс респект. Они очень приветливые.
43,"Не самое восхитительное что есть в Москве, но очень не дурно и размер харош. Это я про шаву. Стрипсы и жареный сыр вполне себе, не хуже чем везде."
44,"«Вольчека» обычный, всё вкусно, всё хорошо. Но конкретно на этой точке персонал просто отвратительный: постоянно хамят, постоянно делают всё с таким видом как-будто буквально из под палки, все с понурыми, мягко говоря недоброжелательными лицами, очередь часто в полмагазина просто потому что делают всё со скоростью черепахи. Конкретно сегодня 30.04.2023, примерно в 12:15, на вполне обычный вопрос «можно ли пакет» потому что его даже никто не предложил - мне просто буркнули «про пакет надо в начале говорить». Это что вообще? Так нормально с покупателями общаться? Проведите работу с сотрудниками, не первый раз уже такое."
45,"Всегда нравилось это место. Вкусно, приятное обслуживание несмотря на очереди, но несколько последних посещений подпортили мнение. Всё по прежнему вкусно, но персонал подкачал. Не здороваются, пирожные кладут кое как. Дома открываю, всё свалено в кучу, перемешалось, примялось. Притом что коробку несу как дали, всегда аккуратно, как раз чтобы избежать порчи пирожных. Вчера сразу на месте открыла, а там уже всё в кучу. Ввиду очереди не стала возмущаться, чтобы не отнимать время у других посетителей, но осадочек остался."
46,"Заказал кофе 0.4 и оплатил за него, на голубом глазу сделали 0.3 не стал спорить просто сюда больше ни ногой"
47,большой классический донер со свежим укропом и капустой стоит 180р. Не острый. Мясо срезает тут же с вертела. Вкусно.
48,"Ужасно. Специально шла туда сегодня за кофе, так как всегда было вкусно. Взяла капучино без пены почему то от слова совсем. Попросила с сиропом, попробовала, но там ни намёка на него. Спросила у девушки не забыла ли она, сказала нет. Но мы всегда брали и все чувствовалось, тем более мятный. Не любитель писать плохие комменты, но сегодня прям испортили настроение"
49,"Медденное обслуживание , мой столик просто игнорировали, пока я сама не позвала (10-12 минут ) Официанты даже не здороваются ) в общем такой вот сервис )))"
50,"не очень дёшево, уютно, красиво, тепло, посуда суперская. но с декором на полках нужно что то делать - он портить стиль кафешки, нагородили безвкусного хлама в таком милом интерьере update: заходила несколько дней подряд, чтобы выбрать торт, странно, как то их мало постоянно было и везде наклейка сегодняшнего числа. На следующий день купила все же торт, опять свежая наклейка на нем, а количество со вчера будто не изменилось в холодильнике. Такое ощущение, что наклейку с датой приклеивают не на коробку, а на ленточку специально, чтобы потом проще было оторвать её и утром переклеить на свежую. Мой торт и вправду был черствоват, как мне показалось, может конечно такая рецептура. Надеюсь, что я ошибаюсь в своих догадках...."
51,"Сегодня зашли в ваше кафе с ребенком перекусить, и были очень разочарованы не свежей продукцией, а именно ролл с крабом ( ужасно горький привкус) и чизкейк шоколадный (заветренный, сухой, липнет к зубам) Настроение испорчено, деньги на ветер, ушли голодные!!! Больше сюда ни ногой! Небольшой совет, вам необходимо купить ацетатную бордюрную ленту для кондитерских изделий!!!"
52,"Пришли на день рождения мужа позавтракать небольшой компанией (28.03.2023). Сделали заказ на нормальную сумму, с собой в качестве сюрприза был маленький бенто-тортик. И очень не деликатная женщина адмиристратор объяснила прям именнинику, что у них тоже кондитерская и разрезать маленький тортик и поесть у них в заведении - нельзя (якобы их хлеб мы забираем таким образом). Мы были в шоке от подачи объяснений совершенно неделикатного администратора, и самим фактом, что сделав приличный заказ мы не можем в день рождения поесть маленький торт. Клиентоориентированность отсутствует напрочь. Не рекомендую это заведение в такие поводы, если не хотите испортить настроение себе."
53,"Хотела зайти да, все откладывала! А тут праздник светлой пасхи- зашла... Люди стоят передо мною и высказывают претензии персоналу:"" Мы одни, а дождаться кофе с пирожными не можем!"" Подумала, что тут ""ловить""? Развернулась и вышла.... Получили ли они свой кофе...?????"
54,"Испортились они. Вкусный там только кофе. Бариста молодец. Сладости хуже всего. Несвежие. Все что я там пробовала , все воняло каким то нафталином. Видимо заветривается. Особенно кексы с кремом сверху. Ужасны. И торты невкусные, несвежие. Не рекомендую. Я про их точку в ТЦ Мега- Химки"
55,"Покупала творожное печенье. Вечером с детьми чуть зубы не сломали. Безумно твёрдое. Брала с витрины остаток, продавец даже не предупредила, что оно несвежее. Всё выбросила. Невкусно"
56,"Бариста Дарья совершенно не умеет общаться с людьми. Девушка, увидев что я зашла, продолжила заниматься своими делами, не поздоровалась в ответ .На просьбу помочь с выбором - грубо отказала, аргументировав это тем, что вкусы у всех разные и она не знает, что мне нужно, при этом я попросила выбрать напиток на её вкус. При приготовлении кофе, вместо того, чтобы полноценно пролить группу перед варкой эспрессо, просто щёлкнула кнопкой на доли секунды из-за чего ощущается горечь. И плюс ко всему этому не попрощалась со мной в ответ."
