,0
10,"Автору отзыва понравилось новое оформление зала, качество блюд и обслуживание, особенно супы, а также наличие зоны для детей. Он также отмечает, что кофейня является одним из его любимых мест в Мск."
11,"Автору отзыва понравилось расположение кафе, вкусные блинчики и кофе Раф, чистота и уют в кофейне, внимательный и вежливый персонал, а также возможность проведения романтических завтраков и мастер-классов по керамике."
12,"Автору отзыва понравилось, что в павильоне есть интересные товары ручной работы, можно найти керамическую посуду, ароматические свечи, товары для дома и уголок с вкусным кофе и сладостями. Он также отметил, как приятно проводить время в такой обстановке, особенно в будни, так как в выходные здесь много людей. Кроме того, автору отзыва понравилась выпечка Волконского и быстрое обслуживание."
13,"Автору отзыва понравилось гостеприимство и позитивность официантов, уютная локация кофейни, красивый интерьер, возможность поработать за ноутбуком в одиночестве или выпить чашку кофе с друзьями. Он также отметил, что уборной можно пожелать лучшего, но цены не высокие."
14,"Автору отзыва понравилось, что кафе предлагает вкусную пиццу, глинтвейн, торт манго-маракуйя, уютную атмосферу, классные игры на приставках, вкусный чай и печеньки, доброжелательных хозяюшек и позитивный персонал. Он также отметил хорошую продукцию по хорошим ценам и возможность оплаты как наличными, так и картой."
15,"Что понравилось автору отзыва, игнорируй негативные оценки:
- Стиль, чистота в заведении, приемлемые цены, вкусная и сытная паста, согревающий грог, французская музыка-все это вы найдёте в ресторане Le menu) Спасибо девушкам-учтивы и вежливы в обслуживании!"
16,"Автору отзыва понравились вкусные блюда, хорошая подача и приятная обстановка в кофейне. Он также отметил, что бармены здесь настоящие профи своего дела, а выбор напитков невероятно большой. Кроме того, автор отметил баристу по имени Никита, которого, по его мнению, обожает добрая половина Владивостока."
17,"Автору отзыва понравилось, что в кофейне подают божественный кофе, который идеально приготовлен, а также дружелюбная атмосфера и вежливый персонал. Он также отметил быстрое обслуживание и классную континентальную кухню."
18,"Автору отзыва понравилось, что в кафе вкусные завтраки и потрясающие коктейли, а также обслуживание на высоком уровне. Он отмечает чистоту и опрятность официантов в стильной униформе, дизайн кафе и широкий выбор коктейлей с интересной подачей для выбора. Автор также отмечает вкусную и разнообразную кухню, удобное расположение в центре города, наличие личной парковки и живую музыку по вечерам."
19,"Автору отзыва понравилось, что в кафе вкусная еда, вежливые и быстрые официанты, красивый интерьер с удобными диванами и креслами, отличное кофе, выпечка, десерты и ненавязчивая музыка."
20,Отличная окрошка и недорогая! Порцию курицы принесли ооочень большую. Атмосфера уютная.
21,"Автору отзыва понравилось, что в кафе есть тематический кофе и чай, а также приятная атмосфера и десерты. Он также отметил вежливый и обходительный персонал, который может помочь с выбором по меню. Однако, он выразил недовольство тем, как сотрудники соблюдают гигиену рук перед работой. В целом, автор отзыва остался доволен посещением кафе."
22,"Что понравилось автору отзыва:

1. Вафли с лососем - нежнейшие.
2. Работа персонала - радушно, профессионально и не навязчивой. 
3. Кухня - на достойном уровне."
23,"Автору понравилось, что в кофейне ""Практика Кофе"" есть удобное пространство, удобные кресла у входа, розетки на каждом углу, приятный и уютный туалет, офигенный капучино, Кэшбек система Asap и возможность расплатиться баллами за продукцию. Он также отметил, в авторских напитках мало чувствуется кофе, ощущение ""просто сладкая водичка"". Автор рекомендует всем посетить эту уютную кофейню и насладиться ее атмосферой."
24,"Автору отзыва понравилась атмосфера кофейни, вкусная еда и волшебный кофе, а также приветливый персонал и уютная обстановка. Он также отметил, что раньше кофейня была лучше."
25,"Автору понравилось, что в кофейне приятная атмосфера, вкусный кофе и приветливый персонал. Расположение удобное, ассортимент подходящий, Яндекс еда сотрудничает с кафе. Обслуживание хорошее, быстрое и качественное. Качество еды также на высоте. Ценник соответствует подаваемой продукции."
26,"Автору отзыва понравилось всё: вкусное молочное какао, интересные десерты, приятный вежливый персонал, уютный интерьер, обязательно посетим это место ещё раз! Прекрасное кафе! У них потрясающие сырники!!! И очень классные завтраки. Панкейки отличные и порция ооочень приличная. Я одна осилила с трудом)) люблю сидеть в отдельном зале слева от входа) прям очень комфортно. Приятное заведение. Особенно интересно, когда зимой после прогулки по набережной"
27,"Автору отзыва понравилось расположение кондитерской в центре города, уютная атмосфера, вкусные торты и пирожные, приветливые продавцы за прилавком, интересный минималистичный интерьер, огромный выбор десертов, особенно понравилась выпечка и очень вкусный кофе."
28,"Автору отзыва понравилось, что в Реинкарнации Мамма’с есть вкусная пицца, интерьер красивый и уютный, удобно оплачивать меню и чаевые через QR код, есть акции на алкоголь и десерты, а также возможность работать в коворкинге."
29,"Отличное место для встреч, приятная обстановка, разнообразное меню, не рекомендуется обедать, если есть ограничения по времени, много разных вкусов, дымные кальяны, приходите не пожалеете. Лучшая Шаверма в городе! Большой выбор, помимо классической Шавы есть ещё варианты, также есть веганская. Вкусные напитки - молочные коктейли, кофе, морс. Десерты очень вкусные, всегда свежие. Много сиропов для кофе и коктейля. Атмос"
30,"Автору отзыва понравилось уютное место, вкусная шаверма, приветливый персонал, большой выбор напитков и видов шаурмы, возможность взять еду с собой и акции. Он также отметил, что здесь чисто и приемлемый ценник."
31,"Автору отзыва понравилась вкусная кухня и выпечка, доброжелательный персонал, частично доступный для мгн с посторонней помощью, не большой зал, уютное меню и адекватные цены. Единственный минус - нет парковки."
32,"Автору отзыва понравилось быстрое обслуживание, вкусная еда и напитки, уютная атмосфера, большой выбор сидра, вкусные хот-доги и пиццы, а также сырный раф. Он также отметил, что цены завышены, но кафе все равно пользуется спросом из-за своего удачного расположения в центре города."
33,"Автору отзыва понравилось, что в кофейне есть интересный интерьер, вкусная еда и напитки, парковочное место, возможность заказать что-то особенное и вежливый персонал. Он также отметил хорошее меню, живую музыку и прекрасный вид на море."
34,"В Чайникофф вкусные штрудели, глинтвейн и десерты. Приятное вежливое обслуживание на высоком уровне. Рекомендую попробовать кленовый чай латте и тодди-грог."
35,"Автору отзыва понравились вкусная пицца и паста, приготовленные итальянцем Лоренцо, общительный и гостеприимный персонал кофейни, а также вкусные десерты и крутые книги, которые можно почитать под чашечку кофе и любимый канноли."
36,"Автору отзыва понравилось, что в кафе Anytime его быстро обслужили и предложили классный ассортимент. Он также отметил внимательное отношение к клиентам, чистоту и аккуратность в кофейне, а также потрясающий латте и доброжелательного бариста. Кроме того, автор отзыва остался доволен тортиком, который ему заказали на 4-летие."
37,"Автору отзыва понравилось, что кондитерская Viva-торт изготовила торт «Три шоколада» на день рождения дочери, который оказался невероятно красивым и вкусным. Он также отметил соотношение цены и качества в данном заведении, а также дружелюбный коллектив и вкусные напитки, еду и конфеты."
38,"Автору отзыва понравилось кафе за вкусные торты, пироги и пирожные, хлеб, а также за атмосферу и доброжелательность персонала. Он также отметил интерьер, большое количество картин и ненавязчивое музыкальное сопровождение."
39,"Автору отзыва понравилось, что в кофейне вкусная кухня, приятная атмосфера и вежливый персонал. Он также отметил вкусный кофе, который подают здесь утром, а также дружелюбную и приветливую девушку-бариста, которая заряжает позитивом на весь день."
40,"Автору отзыва понравилось, что в блинной в Ельцовке есть вкусная и домашняя еда, а также чистота и дружелюбное отношение к посетителям. Он также отметил отличное альтернативное молоко и профессионализм бариста."
41,"Автору отзыва понравилось, что в кофейне свежая выпечка, начинки не жалеют, при необходимости девушки помогут сделать выбор и расскажут про трдельники. Цены очень демократичные. Также понравились сезонные напитки (пунш и облепихово-имбирный чай)."
42,"Автору отзыва понравилось, что в кафе приятная обстановка, вкусная кухня и вежливый персонал. Он также отметил доступность бизнес-ланча и возможность поболтать с друзьями во время ожидания. Кроме того, автор отметил авторские чаи и завтраки, которые можно заказать с небольшой доплатой."
43,"Автору отзыва понравилось, что в кафе грамотный и вежливый персонал, отличная кухня, разнообразное меню на любой вкус, выпечка отличная и хороший кофе. Он также отметил уютное и недорогое кафе с просторным и вкусным интерьером."
44,"Автору отзыва понравилось, что в сети кофеен Skuratov используют натуральные ингредиенты, которые делают сами, а также широкий выбор выпечки и десертов. Он также отметил хорошее расположение зарядок и разнообразие кондитерских изделий."
45,"Автору отзыва понравилось, что в Шерше вкусно, чисто и дешево. Он также отметил высокий уровень обслуживания и дружелюбие персонала. Однако, автор не остался доволен десертами и ответил негативно на негативные отзывы о заведении."
46,"Автору понравилось, что в кофейне можно попить вкусный кофе разных сортов, есть интересная и вкусная кухня, вежливый и внимательный персонал, приятная музыка, вкуснейшие блюда, десерты и кофе, удобное расположение столов и прекрасный персонал."
47,"Автору отзыва понравилось, что в кафе ""Дринкит"" всегда вкусный качественный кофе, приветливый дружелюбный персонал, который поможет определиться с напитком, а также есть места с мягкими диванчиками и пуфами и широкие кресла, в которых можно удобненько усесться и в приятной обстановке выпить свой напиток. Также автор отметил наличие чистой уборной и приветливую баристу Камиллу."
48,"Автору отзыва понравилось, что здесь делают коктейли, уютная атмосфера, вкусная еда, десерты, авторский кофе и вежливый персонал. Он также отметил наличие журналов, комиксов и игр в качестве приятного бонуса."
49,"Автору отзыва понравилось, что в кафе уютная обстановка, вкусный кофе и лимонад, приветливый персонал и приятные бонусы к кофе, а также удобные столики, удобные диваны и наличие шашек."
50,"Автору отзыва понравились ром-бабы, хороший кофе и ассортимент сиропов. Он также отметил, что в Петербурге такой кофе минимум в два раза дороже, а сотрудник за прилавком - супер-приятное обслуживание. В целом, автор остался доволен посещением кофейни."
51,"Автору отзыва понравилось, что в кофейне есть отличный капучино, большой выбор еды, удобное расположение рядом с метро и дружелюбный управляющий. Он также отметил вкуснейшие авторские напитки и тихую домашнюю атмосферу."
52,"Автору отзыва понравилось уютное заведение со стильным современным светлым интерьером и приятной атмосферой, большие и сытные порции, лаконичное меню, приветливые сотрудники зала, возможность добавить к блюдам из яиц рыбу/бекон и другие компоненты, бейгл, который пекут самостоятельно, ограниченный выбор десертов, удобное месторасположение, бесплатный Wi-Fi, вкусный кофе и угощения, светлый уютный интерьер, чистая посуда и мебель, доброжелательный персонал кофейни, приемлем"
53,"Автору отзыва понравилось расположение кофейни рядом с его домом и офисом, вкусный кофе и чай, приветливый персонал, система лояльности, вкусная выпечка и бизнес-ланчи, приемлемые цены, химчистка кресел в зале, приятная обстановка, приятные сотрудники, небольшой хаос в ценниках на конфеты в розницу и наборы."
54,"Автору отзыва понравилось модное место с вкусными сэндвичами, маленькими столиками и интересными напитками. Он также отметил, что мало блюд без яиц является типичной проблемой для всех меню завтраков. Автор также положительно оценил организацию банкета и помощь администратора в выборе блюд и рассадке гостей."
55,"Автору отзыва понравилось, что здесь можно купить вкусные круассаны, чай и кофе, а также отличные хот-доги и молочные коктейли. Также автор отметил вежливый персонал, качественную выпечку, уютную террасу и приемлемые цены."
56,"Автору отзыва понравилось удобное расположение, большой выбор кальянов, отличное обслуживание и вежливый персонал. Он также отметил, что цены на кальяны интересные и обслуживание быстрое."
57,"Автору отзыва понравилось: хорошее качество кофе и профессиональное кофейное оборудование, вкусные десерты, приветливый персонал."
58,"Автор отзыва остался доволен подачей блюд, их внешним видом и вкусовыми качествами, кофейными напитками и десертом. Он также отметил, что девушка-официантка принесла новый набор приборов, в котором была лишь одна вилка, поэтому дополнительные приборы пришлось брать самим с соседнего стола. В целом, автор отзыва высоко оценил интерьер и сервис кофейни."
59,"Автору отзыва понравилось, что в кафе можно позавтракать с 9:00, есть необычные плюшки-печенюшки, вкусный капучино и шаурма, а также уютное место для семейного отдыха с классными машинками."
60,"Автору отзыва понравилось, что в ресторане быстрая подача блюд, вкусная выпечка, приятная атмосфера и вежливый персонал. Он также отметил большой выбор десертов, слабенький кофе и наличие кухни, где можно заказать что-то сытное."
61,"Автору отзыва понравилось: вкусный кофе, отличное обслуживание, удобное расположение на набережной, тихое место, красивое оформление интерьера, кресла удобные в стиле лаунж, приемлемые цены."
62,"Автору отзыва понравилось уютное и тихое заведение, где можно поработать или позаниматься учебными делами. Невероятный кофе и чудесная кухня станут хорошим дополнением, а иногда и стимулом для совершения грандиозных результатов в труде. Здесь можно и просто посидеть, пообщаться с друзьями и близкими."
63,"Автору отзыва понравилось, что здесь вкусная кухня, подают блюда быстро и из фермерских продуктов, а само место находится недалеко от трассы. Кроме того, автор отзыва отмечает вкусные калачи, борщ и домашнюю еду. Он также рекомендует попробовать фирменный калач с камамбером местного производства."
64,"Автору отзыва понравилось, что в кафе Калачная на трассе М2 в сторону Тулы есть уютное место, где пахнет дровами и настоящей русской кухней. Он также отметил вкусную еду и разнообразие начинок в калачах, а также необычное мороженое. Кроме того, автор отметил вежливое отношение работников и уютную атмосферу кафе."
65,"Автору отзыва понравилось, что здесь вкусно, уютно, тепло и с настроением. Он отмечает потрясающий капучино с пенкой, свежую выпечку и внимательных сотрудников, которые отвечают на все вопросы. Кроме того, автор отмечает приятный интерьер и разнообразное меню, а также низкие цены."
66,"Автору отзыва понравилось, что кафе уютное и атмосферное, персонал вежливый и приветливый, а кухня божественная. Он также отметил большой ассортимент блюд и напитков, вкусную еду и напитки, удобное расположение и приятную музыку."
67,"Автору отзыва понравилась уютная атмосфера, вкусная и разнообразная кухня, вежливый персонал, хорошая приятная музыка и отличное обслуживание. Он также отметил, что цены и качество на высоте, а порции отличные. Единственный минус - душно без кондиционера или приоткрытой входной двери."
68,"Автору понравилось, что кафе уютное и маленькое, кухня вкусная, персонал вежливый, атмосфера приятная и расслабляющая, еда готовится быстро, цены приемлемые, порции приличные, интерьер радует, приятная музыка."
69,"Автору отзыва понравилось, что в кофейне вкусный и недорогой кофе, есть выбор альтернативного молока, а также круассаны с шоколадом и сырники. Он также отметил наличие ассортимента десертов, но посетовал на отсутствие облепихового чая и неудобство оплаты картой. В целом, автор отзыва остался доволен посещением кофейни."
70,"Автору отзыва понравилось, что в кафе есть все необходимое для работы и отдыха: кофейня, магазин, коворкинг, уютная обстановка и вежливый, культурный и добрый персонал. Меню небольшое, но разнообразное: бутерброды, завтраки различных стран, бургеры, каши, салаты, блинчики. Есть вегетарианские блюда, десерты. Особенно автору понравился меренговый рулет. В летнее время можно посидеть на веранде снаружи."
71,"Автору отзыва понравилось, что в кафе вкусная еда, большие порции, отличный выбор завтраков и вкусный холодный кофе. Он также отметил уютную атмосферу кафе и доброжелательных официантов."
72,"Автору отзыва понравилось, что в кофейне хорошее обслуживание, вкусная еда и кофе, а также уютная атмосфера и приветливый персонал."
73,"Автору понравилось, что в кофейне правильный персонал и отличный кофе, а также необычное меню, включающее спешлти и альтернативные методы. Он также выразил сожаление по поводу хамского поведения девочек, которые объясняли ему, почему кофе готовится дольше, чем каша."
74,"Автору отзыва понравилось, что в пекарне можно перекусить на месте не только выпечкой с чаем/кофе (хорошим кофе), но и довольно неплохим завтраком/обедом (салаты, блюда на второе, в том числе на вынос). Персонал приветлив, обслуживание быстрое. Лучший кофе в городе, всегда свежая выпечка, чистый и уютный зал. Цены адекватные, зайти стоит."
75,"Автору отзыва понравилось, что в кофейне есть красивый и вежливый персонал, уютная атмосфера, огромный выбор напитка с различными вкусовыми добавками, бонусная программа, свежие продукты, быстрая подача блюд и система скидок по номеру телефона. Также автор отметил вкусные бургеры и чай маракуя."
76,"Автор отзыва считает, что бургеры вкусные и нежные, но ему в мясе стабильно попадаются мелкие части костей. Он считает это опасным, т.к. можно повредить дёсны и зубы, а также аппетит пропадает когда с опаской пережевываешь мясо в поисках посторонних предметов. Автор также отмечает отличное кафе, вкусный кофе и отличную цену. Кофе отличный в меню нет холодного раф’а, но молодой человек с ражностью попробовал его сделать и вышло у него отлично спасибо за"
77,"Автору понравилось, что в кофейне роскошный интерьер с приятной цветовой гаммой, легко и вкусно, просторно, можно пофоткаться, а кофе - невероятно нежный. Также автор отмечает разнообразие вкусных напитков, подачу блюд европейской кухни и комплимент от заведения в день рождения. В целом, автор остался доволен посещением кофейни."
78,"Автору отзыва понравилось уютное место с хорошей музыкой и вкусной едой, а также приветливый персонал. Он также отметил хорошее качество кофе и обширное меню. Однако автор отметил, что музыка уже приелась и хотелось бы разнообразия."
79,"Автору отзыва понравилось, что кафе находится в самом центре Москвы, в пешей доступности от метро. Он отметил вкусную еду и качественный кофе, а также вежливый персонал и удачный интерьер. Автор также отметил отличное исполнение торта и его вкус, как домашний."
80,"Автору понравилось уютное кафе с приветливыми бариста и ненавязчивой музыкой, периодические выставки картин и фото, очень вкусный кофе! Есть интересные напитки типа ""сырный латте"". На пятом этаже здания располагается театр, идеальное место для чашечки кофе перед спектаклем."
81,"Автору отзыва понравилось, что в заведении есть атмосфера, плейлист, приветливый и обученный персонал, которому есть дело до каждого гостя, приятное меню и конечно же вкусная еда и напитки. Он также отметил доступные цены, классную подачу блюд и очень вкусно. Особенно автор выделил хорошо подобранный коллектив официантов: учтивые, доброжелательные, идут навстречу гостю (были с подругой и она поменяла заказ чая, когда его уже приготовили, официант заменила заказ и не взяла доп"
82,"Автору отзыва понравилось: вкусная кухня, приветливый персонал, удобные диванчики и стулья, приятная атмосфера, наличие кальянной зоны, завтраки и ланчи по выгодным ценам, большой выбор напитков на любой вкус, уютное помещение для посиделок."
83,"Автору отзыва понравилось, что в кафе дружелюбный и вежливый персонал, хороший ассортимент, хорошая кухня и вкусные эклеры, а также атмосфера как дома. Он также отметил чистоту и порядок во всем кафе."
84,"Автору отзыва понравилось, что кафе разделено на два крыла слева и справа от входа, плюс летняя веранда. Меню стандартное, обслуживание хорошее. Очень большой ассортимент шоколада и печенья. Есть кафе, но цены мне показались в нём слегка высокими."
85,"Автору отзыва понравилось, что в магазине большой ассортимент и доступные цены, а также удобное расположение рядом с Музеем истории шоколада. Он также отметил вежливых продавцов и возможность оставить чаевые через кьюар код. Негативно автор отзыва высказался о ценах на пирожные в кафе."
86,"Автору отзыва понравился торт Красный бархат, пицца, шаурма и кофе. Он также отметил, что в кофейне приятная атмосфера и вежливый персонал."
87,"Автору отзыва понравилось, что в кафе есть уютная атмосфера, вкусный кофе и десерты, а также приветливый персонал. Он также отметил хорошую кухню и внимательных поваров, которые подходят к приготовлению блюд ответственно. Однако автор также указал на некоторые недостатки, связанные с обслуживанием и качеством кофе."
88,"Автору отзыва понравилось, что в заведении много новинок по сезону, персонал очень внимательный, домашняя атмосфера и хлеб всегда свежий и очень вкусный. Он также отметил приветливый персонал, авторские пирожные, вкуснейший кофе и прекрасное настроение гостям гарантировано."
89,"Автору отзыва понравилось, что в кафе есть круглосуточные завтраки, персонал внимательный, кофе дороговат, но можно сделать более лояльный прайс, а также уютная обстановка, вкусные блюда и напитки, быстрое обслуживание, приятный интерьер и вежливый персонал."
90,"Автору отзыва понравился большой выбор конфет и шоколада, а также применение дисконтной гостевой карты на кассе. Он также отметил вежливый персонал и удобное расположение магазина в историческом здании с прекрасным видом на памятник Петру I. Однако автор отметил, что магазин не очень удобен в плане доступности и кофейня при магазине больше не относится к нему."
91,"Отличный выбор товара и отличное маленькое кафе! Мне и жене все понравилось! Но вот расположено оно не в очень удачном месте,лучше бы оно располагалось бы рядом с кц- гэс2! Это было бы гораздо лучше и доход кафе и магазина только бы увеличился!"
